PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°),Pressure (hPa),Precipitation (mm),Visibility (km),AQI,Season,City,Latitude,Longitude,Day of Week,Hour,Month,Year,Weather Condition,Station ID
249.8474730741296,102.0718654374662,73.32511762220764,42.43000545917924,0.1936640461302017,196.4341979621397,-7.569886417426504,92.46360472530895,3.8811398796888783,163.73783568305404,1018.822627780242,10.133759666411024,11.399979197831088,458,Winter,Beijing,28.94430501110595,116.57019190604032,,17,2,2023,Snow,18
249.77761871333504,186.1681758873372,55.34425675737485,15.533040670614149,2.72230131965956,48.0998844231907,20.217694305603427,53.52349887894332,5.167869259304751,295.42843349200893,1010.3179826090766,37.31643032987623,14.510584184882598,67,Spring,Beijing,32.14039526610902,106.21289713670012,,23,5,2022,Rain,18
249.45284952080684,194.4347792932365,86.2824005523254,19.44189312600269,4.2137466312829055,137.67650372974748,21.58347605699892,69.18946692367342,0.1695597409330751,165.51956178892485,981.3537434550036,10.631496865879752,9.771936573112315,299,Summer,Beijing,46.58722615561148,103.20173914614873,,8,7,2022,Snow,92
249.14221746922425,154.38743451746674,12.33907022020214,30.985685804999783,3.9812700493867146,148.75265244856837,6.9730710914820655,13.409871179822202,1.5144500203957167,127.9909548586097,1019.3070573021176,39.45193542960341,18.909421116424124,118,Autumn,Beijing,32.93398244386481,124.63183092361535,,1,5,2019,Rain,3
249.1326200621384,261.1558505481049,65.53842610854396,45.49735922053764,2.338578049830203,107.76677217964242,7.588874106936046,72.62388283682753,1.9667197781370471,320.6200908138296,1030.9069092905647,47.8461927896556,6.402521056970418,484,Autumn,Beijing,33.95826324127348,94.9963044134131,,2,6,2021,Fog,3
248.59588944061028,28.484892984765537,71.93193890849363,37.34969723601324,2.806585908891013,189.1477379173064,-9.672332313216222,17.217301380126692,6.91527216763641,173.20796398123355,988.5375944050184,49.53719399114168,8.703871520474364,333,Winter,Beijing,49.75263709193538,113.0861837126694,,9,5,2015,Haze,46
248.5715560681804,138.4453012137784,53.65320487616412,44.55364558054677,4.245225833032927,196.2403844023273,17.373772424810937,59.89922534656174,1.8335341139108383,67.22940462200717,983.5648684583877,30.627116816120072,14.412699718080384,379,Autumn,Beijing,40.977708961020745,116.20502955694036,,14,8,2015,Rain,99
247.56517753917151,118.6038714613238,46.0519222287378,38.87423610395921,2.6392049809193567,192.7057354698758,24.901143702363896,11.413611533429949,9.004833009825196,292.2189385977352,1039.9710084850285,3.824994513896768,11.458803806380288,60,Winter,Beijing,47.5951236457226,115.74867527060393,,9,8,2017,Rain,2
247.26806559546333,249.27513099512237,21.93008235256936,26.43860826312448,4.79676739750454,63.23612683882298,8.858417675930326,39.91764590790556,6.996751259034522,261.891297591942,1039.8248837075143,8.919549048637238,0.8484883715740803,187,Spring,Beijing,20.364835926477895,99.58292484281812,,0,5,2020,Rain,76
246.35541950198208,279.2981614023602,14.426989477648275,16.57924166041034,1.31445000095954,65.81589599088574,35.30643297713486,46.96514297338084,5.355737877299881,2.949489242900647,1008.923373509714,24.60877672398336,7.566147721317935,180,Autumn,Beijing,34.1376353069701,97.67730401096613,,16,9,2024,Fog,10
